scientificName,kingdom
Ramalina polymorpha (Lilj.) Ach.,Fungi
Ramalina pontica Vězda,Fungi
Ramalina roesleri (Hochst. ex Schaer.) Hue,Fungi
Ramalina scoriseda Zahlbr.,Fungi
Ramalina subfarinacea (Cromb.) Nyl.,Fungi
Ramalina thrausta (Ach.) Nyl.,Fungi
Rhizoplaca melanophthalma (Ramond) Leuckert et Poelt,Fungi
Scoliciosporum chlorococcum (Stenh.) Vězda,Fungi
Scoliciosporum curvatum Sérus.,Fungi
Scoliciosporum gallurae Vězda et Poelt,Fungi
Scoliciosporum intrusum (Th. Fr.) Hafellner,Fungi
Scoliciosporum perpusillum (Lahm) Körb.,Fungi
Scoliciosporum sarothamnii (Vainio) Vězda,Fungi
Scoliciosporum schadeanum (Erichsen) Vězda,Fungi
Scoliciosporum umbrinum (Ach.) Arnold ,Fungi
Scoliciosporum umbrinum (Ach.) Arnold ,Fungi
Scutula epiblastematica (Wallr.) Rehm.,Fungi
Scutula tuberculosa (Th. Fr.) Rehm.,Fungi
Scutula miliaris (Wallr.) Trevis.,Fungi
Solenopsora candicans (Dicks.) J. Steiner,Fungi
Solenopsora cesatii (A. Massal.) Zahlbr.,Fungi
Solenopsora grisea (Bagl.) Kotlov,Fungi
Solenopsora marina (Zahlbr.) Zahlbr. ,Fungi
Sphaerophorus fragilis (L.) Pers.,Fungi
Sphaerophorus globosus (Huds.) Vainio,Fungi
Squamarina cartilaginea (With.) P. James,Fungi
Squamarina gypsacea (Sm.) Poelt,Fungi
Squamarina lamarckii (DC.) Poelt,Fungi
Squamarina lentigera (G. H. Weber) Poelt,Fungi
Squamarina periculosa (Duf.) Poelt,Fungi
Squamarina stella-petraea Poelt,Fungi
Stereocaulon condensatum Hoffm.,Fungi
Stereocaulon dactylophyllum Flörke,Fungi
Stereocaulon paschale (L.) Hoffm.,Fungi
Stereocaulon pileatum Ach.,Fungi
Stereocaulon plicatile (Leight.) Fryday et Coppins,Fungi
Stereocaulon tomentosum Th. Fr.,Fungi
Stereocaulon vesuvianum Pers. ,Fungi
"Straminella conizaeoides (Nyl. ex Crombie) S. Y. Kondr., L. Lőkös et Farkas ",Fungi
"Straminella varia (Hoffm.) S. Y. Kondr., L. Lőkös et Farkas",Fungi
"Thalloidima massatum (Tuck.) Kistenich, Timdal, Bendiksby et S. Ekman",Fungi
"Thalloidima sedifolium (Scop.) Kistenich, Timdal, Bendiksby et S. Ekman",Fungi
Toninia athallina (Hepp) Timdal,Fungi
Toninia candida (F. Weber) Th. Fr.,Fungi
Toninia cinereovirens (Schaer.) A. Massal.,Fungi
Toninia diffracta (A. Massal.) Zahlbr.,Fungi
Toninia episema (Nyl.) Timdal ,Fungi
Toninia opuntioides (Vill.) Timdal,Fungi
Toninia philippea (Mont.) Timdal ,Fungi
Toninia physaroides (Opis) Zahlbr.,Fungi
Toninia subfuscae (Arnold) Timdal ,Fungi
Toninia tabacina (A. Massal.) Flagey,Fungi
Toninia talparum Timdal,Fungi
Toninia taurica (Szat.) Oxner,Fungi
Toninia toniniana (A. Massal.) Zahlbr.,Fungi
"Toniniopsis aromatica (Sm.) Kistenich, Timdal, Bendiksby et S. Ekman",Fungi
Toniniopsis mesoidea (Nyl.) Timdal,Fungi
Tuckermannopsis chlorophylla (Willd. in Humb.) Hale,Fungi
Tuckermannopsis ciliaris (Ach.) Gyeln.,Fungi
Tuckermannopsis sepincola (Ehrh.) Hale,Fungi
Tuckeraria laureri (Krempelh.) Randlane et A. Thell,Fungi
Usnea aciculifera Vain.,Fungi
Usnea articulata (L.) Hoffm.,Fungi
Usnea barbata (L.) F. H. Wigg. em. Motyka,Fungi
Usnea capillaris Mot.,Fungi
Usnea carpatica Motyka,Fungi
Usnea caucasica Vainio,Fungi
Usnea cavernosa Agassiz ,Fungi
Usnea ceratina Ach.,Fungi
Usnea chaetophora Stirt.,Fungi
Usnea cinchonarum (Fée) Vainio,Fungi
Usnea diplotypa Vain.,Fungi
Usnea dolosa Motyka,Fungi
Usnea dubia Motyka,Fungi
Usnea faginea Motyka,Fungi
Usnea filipendula Stirt. ,Fungi
Usnea florida (L.) F. C. Weber ex F. H. Wigg.,Fungi
Usnea fulvoreagens (Räsänen) Räsänen,Fungi
Usnea glabrata (Ach.) Vainio,Fungi
Usnea glabrescens (Nyl. ex Vainio) Vainio,Fungi
Usnea glauca Motyka,Fungi
Usnea hirta (L.) F. C. Weber ex F. H. Wigg.,Fungi
Usnea lapponica Vainio,Fungi
Usnea maxima Mot.,Fungi
Usnea mollis Stirt.,Fungi
Usnea motykana Bystr. et Wójciak ,Fungi
Usnea pendulina Motyka ,Fungi
Usnea perplectans Stirt.,Fungi
Usnea plicata (L.) F. H. Wigg. em. Motyka,Fungi
Usnea prostrata Vainio ex. Räsänen,Fungi
Usnea rigida (Ach.) Motyka,Fungi
Usnea rugulosa Vainio,Fungi
Usnea scabrata Nyl.,Fungi
Usnea scrobiculata Motyka,Fungi
Usnea silesiaca Motyka,Fungi
Usnea subfloridana Stirt.,Fungi
Usnea sublaxa Vainio in Norrlin et Nyl.,Fungi
Usnea substerilis Motyka,Fungi
Usnea syriaca Motyka ,Fungi
Usnea wasmuthii Räsänen,Fungi
"Verseghya thysanophora (R. C. Harris) S. Y. Kondr., L. Lőkös, Farkas et J.-S. Hur",Fungi
Violella fucata (Stirt.) T. Sprib.,Fungi
Vulpicida pinastri (Scop.) J.-E. Mattsson et M.-J. Lai,Fungi
Xanthoparmelia conspersa (Ehrh. ex Ach.) Hale,Fungi
Xanthoparmelia convoluta (Kremp.) Hale,Fungi
"Xanthoparmelia delisei (Duby) O. Blanco, A. Crespo, Elix, D. Hawksw. et Lumbsch ",Fungi
Xanthoparmelia desertorum (Elenkin) Hale,Fungi
"Xanthoparmelia loxodes (Nyl.) O. Blanco, A. Crespo, Elix, D. Hawksw. et Lumbsch",Fungi
Xanthoparmelia mougeotii (Schaer. ex D. Dietr.) Hale,Fungi
"Xanthoparmelia pokornyi (Körb.) O. Blanko, A. Crespo, Elix, D. Hawksw. et Lumbsch",Fungi
Xanthoparmelia protomatrae (Gyeln.) Hale,Fungi
Xanthoparmelia pulla (Ach.) O. Blanco et al.,Fungi
Xanthoparmelia pulvinaris (Gyeln.) Ahti et D. Hawskw.,Fungi
"Xanthoparmelia ryssolea (Ach.) O. Blanco, A. Crespo, Elix, D. Hawksw. et Lumbsch",Fungi
Xanthoparmelia somloensis (Gyeln.) Hale,Fungi
Xanthoparmelia subdiffluens Hale,Fungi
Xanthoparmelia taurica (Mereschk.) S. Y. Kondr.,Fungi
Xanthoparmelia tinctina (Macheu et Gillet) Hale,Fungi
"Xanthoparmelia verruculifera (Nyl.) O. Blanco, A. Crespo, Elix, D. Hawksw. et Lumbsch",Fungi
