scientificName,kingdom
Cladonia bacillaris Nyl. ,Fungi
Cladonia bacilliformis (Nyl.) Sarnth.,Fungi
Cladonia bellidiflora (Ach.) Schaer.,Fungi
Cladonia botrytes (Hagen) Willd. ,Fungi
Cladonia caespiticia (Pers.) Flörke ,Fungi
Cladonia capitellata (Hook. f. et Taylor) C. Bab.,Fungi
Cladonia cariosa (Ach.) Spreng.,Fungi
Cladonia carneola (Fr.) Fr.,Fungi
Cladonia cenotea (Ach.) Schaer.,Fungi
Cladonia cervicornis (Ach.) Flot,Fungi
Cladonia chlorophaea (Flörke ex Sommerf.) Spreng.,Fungi
Cladonia ciliata Stirt.,Fungi
Cladonia coccifera (L.) Willd.,Fungi
Cladonia coniocraea (Flörke) Vainio ,Fungi
Cladonia convoluta (Lam.) Cout.,Fungi
Cladonia cornuta (L.) Hoffm.,Fungi
Cladonia crispata (Ach.) Flot. ,Fungi
Cladonia cyanipes (Sommerf.) Nyl. ,Fungi
Cladonia deformis (L.) Hoffm.,Fungi
Cladonia digitata (L.) Hoffm.,Fungi
Cladonia diversa Asperges ex S. Stenroos,Fungi
Cladonia ecmocyna Leight.,Fungi
Cladonia fimbriata (L.) Fr.,Fungi
Cladonia floerkeana (Fr.) Flörke subsp. floerkeana (Fr.) V. Wirth ,Fungi
Cladonia foliacea (Huds.) Willd.,Fungi
Cladonia furcata (Huds.) Schrad. ,Fungi
Cladonia glauca Flörke,Fungi
Cladonia gracilis (L.) Willd.,Fungi
Cladonia grayi G. Merr. ex Sandst.,Fungi
Cladonia hungarica (Arnold) Vainio,Fungi
Cladonia incrassata Flörke,Fungi
Cladonia macilenta Hoffm.,Fungi
Cladonia macroceras (Delise) Hav.,Fungi
Cladonia macrophylla (Schaer.) Stenh.,Fungi
Cladonia macrophyllodes Nyl.,Fungi
Cladonia magyarica Vain. ex Gyeln.,Fungi
Cladonia mitis Sandst.,Fungi
"Cladonia monomorpha Aptroot, Sipman et van Herk",Fungi
Cladonia norvegica Tønsberg et Holien,Fungi
Cladonia ochrochlora Flörke,Fungi
Cladonia parasitica (Hoffm.) Hoffm.,Fungi
Cladonia peziziformis (With.) J. R. Laundon,Fungi
Cladonia phyllophora Hoffm.,Fungi
Cladonia pleurota (Flörke) Schaer.,Fungi
Cladonia pocillum (Ach.) O. J. Rich.,Fungi
Cladonia polydactyla (Flörke) Spreng.,Fungi
Cladnia portentosa (Dufour) Follm.,Fungi
Cladonia pyxidata (L.) Hoffm.,Fungi
Cladonia ramulosa (With.) J. R. Laundon ,Fungi
Cladonia rangiferina (L.) F. Weber ex F. H. Wigg.,Fungi
Cladonia rangiformis Hoffm.,Fungi
Cladonia rei Schaer.,Fungi
Cladonia scabriuscula (Delise) Leight.,Fungi
