taxonID	scientificName	higherClassification	kingdom	phylum	class	order	family	genus	specificEpithet	infraspecificEpithet	taxonRank	scientificNameAuthorship
agarics:ukraine:taxon:125	Bonomyces sinopicus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Bonomyces	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Bonomyces	sinopicus		species	(Fr.) Vizzini
agarics:ukraine:taxon:126	Calocybe carnea	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Lyophyllaceae | Calocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Calocybe	carnea		species	(Bull.) Donk
agarics:ukraine:taxon:127	Calocybe chrysenteron	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Lyophyllaceae | Calocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Calocybe	chrysenteron		species	(Bull.) Singer
agarics:ukraine:taxon:128	Calocybe gambosa	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Lyophyllaceae | Calocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Calocybe	gambosa		species	(Fr.) Donk
agarics:ukraine:taxon:129	Calocybe graveolens	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Lyophyllaceae | Calocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Calocybe	graveolens		species	(Pers.) Singer
agarics:ukraine:taxon:130	Calocybe ionides	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Lyophyllaceae | Calocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Calocybe	ionides		species	(Bull.) Donk
agarics:ukraine:taxon:131	Calocybe onychina	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Lyophyllaceae | Calocybe	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Lyophyllaceae	Calocybe	onychina		species	(Fr.) Donk
agarics:ukraine:taxon:132	Calonarius prasinus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Cortinariaceae | Calonarius	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Calonarius	prasinus		species	(Schaeff.) Niskanen & Liimat.
agarics:ukraine:taxon:133	Camarophyllopsis schulzeri	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Camarophyllopsis	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Camarophyllopsis	schulzeri		species	(Bres.) Herink
agarics:ukraine:taxon:134	Cantharellula umbonata	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Cantharellula	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Cantharellula	umbonata		species	(J.F.Gmel.) Singer
agarics:ukraine:taxon:135	Catathelasma imperiale	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Catathelasma	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Catathelasma	imperiale		species	(P.Karst.) Singer
agarics:ukraine:taxon:136	Cercopemyces rickenii	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Tricholomataceae | Cercopemyces	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Tricholomataceae	Cercopemyces	rickenii		species	(Bohus) Dima & L.Nagy
agarics:ukraine:taxon:137	Chaetocalathus craterellus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Marasmiaceae | Chaetocalathus	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Marasmiaceae	Chaetocalathus	craterellus		species	(Durieu & Lév.) Singer
agarics:ukraine:taxon:138	Chamaemyces fracidus	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Chamaemyces	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Chamaemyces	fracidus		species	(Fr.) Donk
agarics:ukraine:taxon:139	Chlorophyllum olivieri	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Chlorophyllum	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Chlorophyllum	olivieri		species	(Barla) Vellinga
agarics:ukraine:taxon:140	Chlorophyllum rhacodes	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Agaricaceae | Chlorophyllum	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Agaricaceae	Chlorophyllum	rhacodes		species	(Vittad.) Vellinga
agarics:ukraine:taxon:141	Chromocyphella muscicola	Fungi | Basidiomycota | Agaricomycetes | Agaricales | Hymenogastraceae | Chromocyphella	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hymenogastraceae	Chromocyphella	muscicola		species	(Fr.) Donk
